nta_name,nta_name,pickups,pickup_tip_per,dropoffs,dropoff_tip_per,total_trips_CRD,total_trips,avg_tip,diff_dropoff_pickup_tip_percent
MN17,Midtown-Midtown South,13583519,20.65,13632312,20.19,27215831,55797167,20.42,-0.46
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,9417107,20.12,8694234,20.23,18111341,31169444,20.18,0.11
MN40,Upper East Side-Carnegie Hill,5667767,19.95,5340084,20.12,11007851,22810873,20.04,0.17
MN23,West Village,7166238,19.99,6121631,20.27,13287869,22646766,20.13,0.28
MN19,Turtle Bay-East Midtown,6160904,20.31,5612729,20.03,11773633,22170351,20.17,-0.28
MN24,SoHo-TriBeCa-Civic Center-Little Italy,5140051,19.89,4691407,19.69,9831458,16711642,19.79,-0.2
MN12,Upper West Side,4014134,19.8,4034025,20.11,8048159,15753371,19.96,0.31
MN20,Murray Hill-Kips Bay,4452702,20.03,4398083,20.22,8850785,15574331,20.13,0.19
MN15,Clinton,3730742,20,3282958,20.18,7013700,13834264,20.09,0.18
MN31,Lenox Hill-Roosevelt Island,3535700,19.32,3476884,19.7,7012584,13325537,19.51,0.38
MN14,Lincoln Square,3446708,19.81,3167882,20.1,6614590,12549714,19.96,0.29
MN22,East Village,3411594,19.82,2796132,20.18,6207726,10362552,20,0.36
MN32,Yorkville,2536665,19.26,2634728,19.82,5171393,9557823,19.54,0.56
MN25,Battery Park City-Lower Manhattan,2658035,18.97,2998310,18.79,5656345,9244893,18.88,-0.18
MN21,Gramercy,2731440,19.87,2296748,20.29,5028188,8415944,20.08,0.42
LGA,La Guardia Airport,2276473,21.11,1484457,21.65,3760930,5738681,21.38,0.54
MN27,Chinatown,1800907,19.49,1437827,19.28,3238734,5648430,19.39,-0.21
MN99,park-cemetery-etc-Manhattan,1051499,19.88,1057174,19.84,2108673,4682374,19.86,-0.04
JFK,John F Kennedy International Airport,1337716,18.26,783469,19.11,2121185,4059887,18.69,0.85
MN09,Morningside Heights,886586,19.12,940238,19.26,1826824,3374494,19.19,0.14
MN33,East Harlem South,562420,18.61,759452,18.97,1321872,2765601,18.79,0.36
BK73,North Side-South Side,731960,20.39,882811,19.92,1614771,2757008,20.16,-0.47
MN28,Lower East Side,563555,19.1,829319,19.14,1392874,2508730,19.12,0.04
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,403534,19.7,545485,19.92,949019,1653344,19.81,0.22
